α,p
0.042,0.95
0.042,0.96
0.042,0.97
0.042,0.98
0.042,0.99
0.042,1.0
0.043,0.89
0.043,0.9
0.043,0.91
0.043,0.92
0.043,0.93
0.043,0.94
0.043,0.95
0.043,0.96
0.043,0.97
0.043,0.98
0.043,0.99
0.043,1.0
0.044,0.83
0.044,0.84
0.044,0.85
0.044,0.86
0.044,0.87
0.044,0.88
0.044,0.89
0.044,0.9
0.044,0.91
0.044,0.92
0.044,0.93
0.044,0.94
0.044,0.95
0.044,0.96
0.044,0.97
0.044,0.98
0.044,0.99
0.044,1.0
0.045,0.79
0.045,0.8
0.045,0.81
0.045,0.82
0.045,0.83
0.045,0.84
0.045,0.85
0.045,0.86
0.045,0.87
0.045,0.88
0.045,0.89
0.045,0.9
0.045,0.91
0.045,0.92
0.045,0.93
0.045,0.94
0.045,0.95
0.045,0.96
0.045,0.97
0.045,0.98
0.045,0.99
0.045,1.0
0.046,0.75
0.046,0.76
0.046,0.77
0.046,0.78
0.046,0.79
0.046,0.8
0.046,0.81
0.046,0.82
0.046,0.83
0.046,0.84
0.046,0.85
0.046,0.86
0.046,0.87
0.046,0.88
0.046,0.89
0.046,0.9
0.046,0.91
0.046,0.92
0.046,0.93
0.046,0.94
0.046,0.95
0.046,0.96
0.046,0.97
0.046,0.98
0.046,0.99
0.046,1.0
0.047,0.73
0.047,0.74
0.047,0.75
0.047,0.76
0.047,0.77
0.047,0.78
0.047,0.79
0.047,0.8
0.047,0.81
0.047,0.82
0.047,0.83
0.047,0.84
0.047,0.85
0.047,0.86
0.047,0.87
0.047,0.88
0.047,0.89
0.047,0.9
0.047,0.91
0.047,0.92
0.047,0.93
0.047,0.94
0.047,0.95
0.047,0.96
0.047,0.97
0.047,0.98
0.047,0.99
0.047,1.0
0.048,0.69
0.048,0.7
0.048,0.71
0.048,0.72
0.048,0.73
0.048,0.74
0.048,0.75
0.048,0.76
0.048,0.77
0.048,0.78
0.048,0.79
0.048,0.8
0.048,0.81
0.048,0.82
0.048,0.83
0.048,0.84
0.048,0.85
0.048,0.86
0.048,0.87
0.048,0.88
0.048,0.89
0.048,0.9
0.048,0.91
0.048,0.92
0.048,0.93
0.048,0.94
0.048,0.95
0.048,0.96
0.048,0.97
0.048,0.98
0.048,0.99
0.048,1.0
0.049,0.66
0.049,0.67
0.049,0.68
0.049,0.69
0.049,0.7
0.049,0.71
0.049,0.72
0.049,0.73
0.049,0.74
0.049,0.75
0.049,0.76
0.049,0.77
0.049,0.78
0.049,0.79
0.049,0.8
0.049,0.81
0.049,0.82
0.049,0.83
0.049,0.84
0.049,0.85
0.049,0.86
0.049,0.87
0.049,0.88
0.049,0.89
0.049,0.9
0.049,0.91
0.049,0.92
0.049,0.93
0.049,0.94
0.049,0.95
0.049,0.96
0.049,0.97
0.049,0.98
0.049,0.99
0.049,1.0
0.05,0.63
0.05,0.64
0.05,0.65
0.05,0.66
0.05,0.67
0.05,0.68
0.05,0.69
0.05,0.7
0.05,0.71
0.05,0.72
0.05,0.73
0.05,0.74
0.05,0.75
0.05,0.76
0.05,0.77
0.05,0.78
0.05,0.79
0.05,0.8
0.05,0.81
0.05,0.82
0.05,0.83
0.05,0.84
0.05,0.85
0.05,0.86
0.05,0.87
0.05,0.88
0.05,0.89
0.05,0.9
0.05,0.91
0.05,0.92
0.05,0.93
0.05,0.94
0.05,0.95
0.05,0.96
0.05,0.97
0.05,0.98
0.05,0.99
0.05,1.0
0.051,0.61
0.051,0.62
0.051,0.63
0.051,0.64
0.051,0.65
0.051,0.66
0.051,0.67
0.051,0.68
0.051,0.69
0.051,0.7
0.051,0.71
0.051,0.72
0.051,0.73
0.051,0.74
0.051,0.75
0.051,0.76
0.051,0.77
0.051,0.78
0.051,0.79
0.051,0.8
0.051,0.81
0.051,0.82
0.051,0.83
0.051,0.84
0.051,0.85
0.051,0.86
0.051,0.87
0.051,0.88
0.051,0.89
0.051,0.9
0.051,0.91
0.051,0.92
0.051,0.93
0.051,0.94
0.051,0.95
0.051,0.96
0.051,0.97
0.051,0.98
0.051,0.99
0.051,1.0
0.052,0.59
0.052,0.6
0.052,0.61
0.052,0.62
0.052,0.63
0.052,0.64
0.052,0.65
0.052,0.66
0.052,0.67
0.052,0.68
0.052,0.69
0.052,0.7
0.052,0.71
0.052,0.72
0.052,0.73
0.052,0.74
0.052,0.75
0.052,0.76
0.052,0.77
0.052,0.78
0.052,0.79
0.052,0.8
0.052,0.81
0.052,0.82
0.052,0.83
0.052,0.84
0.052,0.85
0.052,0.86
0.052,0.87
0.052,0.88
0.052,0.89
0.052,0.9
0.052,0.91
0.052,0.92
0.052,0.93
0.052,0.94
0.052,0.95
0.052,0.96
0.052,0.97
0.052,0.98
0.052,0.99
0.052,1.0
0.053,0.57
0.053,0.58
0.053,0.59
0.053,0.6
0.053,0.61
0.053,0.62
0.053,0.63
0.053,0.64
0.053,0.65
0.053,0.66
0.053,0.67
0.053,0.68
0.053,0.69
0.053,0.7
0.053,0.71
0.053,0.72
0.053,0.73
0.053,0.74
0.053,0.75
0.053,0.76
0.053,0.77
0.053,0.78
0.053,0.79
0.053,0.8
0.053,0.81
0.053,0.82
0.053,0.83
0.053,0.84
0.053,0.85
0.053,0.86
0.053,0.87
0.053,0.88
0.053,0.89
0.053,0.9
0.053,0.91
0.053,0.92
0.053,0.93
0.053,0.94
0.053,0.95
0.053,0.96
0.053,0.97
0.053,0.98
0.053,0.99
0.053,1.0
0.054,0.55
0.054,0.56
0.054,0.57
0.054,0.58
0.054,0.59
0.054,0.6
0.054,0.61
0.054,0.62
0.054,0.63
0.054,0.64
0.054,0.65
0.054,0.66
0.054,0.67
0.054,0.68
0.054,0.69
0.054,0.7
0.054,0.71
0.054,0.72
0.054,0.73
0.054,0.74
0.054,0.75
0.054,0.76
0.054,0.77
0.054,0.78
0.054,0.79
0.054,0.8
0.054,0.81
0.054,0.82
0.054,0.83
0.054,0.84
0.054,0.85
0.054,0.86
0.054,0.87
0.054,0.88
0.054,0.89
0.054,0.9
0.054,0.91
0.054,0.92
0.054,0.93
0.054,0.94
0.054,0.95
0.054,0.96
0.054,0.97
0.054,0.98
0.054,0.99
0.054,1.0
0.055,0.53
0.055,0.54
0.055,0.55
0.055,0.56
0.055,0.57
0.055,0.58
0.055,0.59
0.055,0.6
0.055,0.61
0.055,0.62
0.055,0.63
0.055,0.64
0.055,0.65
0.055,0.66
0.055,0.67
0.055,0.68
0.055,0.69
0.055,0.7
0.055,0.71
0.055,0.72
0.055,0.73
0.055,0.74
0.055,0.75
0.055,0.76
0.055,0.77
0.055,0.78
0.055,0.79
0.055,0.8
0.055,0.81
0.055,0.82
0.055,0.83
0.055,0.84
0.055,0.85
0.055,0.86
0.055,0.87
0.055,0.88
0.055,0.89
0.055,0.9
0.055,0.91
0.055,0.92
0.055,0.93
0.055,0.94
0.055,0.95
0.055,0.96
0.055,0.97
0.055,0.98
0.055,0.99
0.055,1.0
0.056,0.51
0.056,0.52
0.056,0.53
0.056,0.54
0.056,0.55
0.056,0.56
0.056,0.57
0.056,0.58
0.056,0.59
0.056,0.6
0.056,0.61
0.056,0.62
0.056,0.63
0.056,0.64
0.056,0.65
0.056,0.66
0.056,0.67
0.056,0.68
0.056,0.69
0.056,0.7
0.056,0.71
0.056,0.72
0.056,0.73
0.056,0.74
0.056,0.75
0.056,0.76
0.056,0.77
0.056,0.78
0.056,0.79
0.056,0.8
0.056,0.81
0.056,0.82
0.056,0.83
0.056,0.84
0.056,0.85
0.056,0.86
0.056,0.87
0.056,0.88
0.056,0.89
0.056,0.9
0.056,0.91
0.056,0.92
0.056,0.93
0.056,0.94
0.056,0.95
0.056,0.96
0.056,0.97
0.056,0.98
0.056,0.99
0.057,0.5
0.057,0.51
0.057,0.52
